"ofr_divineplan","ofr_lessable","sr_tryhard","sr_generations","sr_crspeed","sr_realchange","sr_welfare","sr_deserveless","sr_complaint","sr_workway","indiv_hwSuccess","indiv_failsame","indiv_willwork","egal_ensureEO","egal_probnoequal","egal_lessproblem","aff_act","govt_aid_comb","govt_eqlopp_jobs","ideo7_sc","pid7_sc","ft_reps","ft_dems","educ4","int_polknow","age","fem"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,NA,4,4,0.5,0.5,60,60,3,4,50,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,4,0.666666666666667,0.833333333333333,60,40,3,3,40,1
1,1,1,2,3,5,3,5,NA,4,5,2,5,5,4,4,1,6,5,0.833333333333333,1,70,30,3,5,68,0
5,NA,5,3,3,5,4,3,3,NA,2,2,5,2,3,2,NA,5,NA,NA,0,15,85,0,2,90,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,5,NA,0.833333333333333,90,60,1,4,18,0
4,4,4,2,NA,3,5,2,2,5,1,2,5,2,1,1,4,NA,5,NA,0.333333333333333,50,50,1,1,58,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,5,4,0.666666666666667,0.833333333333333,70,50,1,3,27,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,7,5,NA,0.166666666666667,40,70,0,2,76,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,6,2,0.666666666666667,0.833333333333333,60,60,3,3,32,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,4,5,0.833333333333333,0.833333333333333,60,50,1,3,27,0
1,1,3,4,3,3,4,4,4,4,2,4,4,1,5,4,5,5,5,NA,0.666666666666667,50,50,3,4,39,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,NA,4,5,0.5,0,40,100,3,5,69,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,NA,4,0.666666666666667,0.833333333333333,40,40,3,4,34,0
3,1,5,5,5,5,5,5,5,5,4,1,4,1,4,2,5,4,5,0.833333333333333,0.166666666666667,50,85,1,3,21,1
1,1,1,1,1,3,1,3,3,4,4,2,4,2,3,2,1,3,2,0.333333333333333,0,30,85,3,5,38,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,5,3,0.333333333333333,0,30,70,1,3,78,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,NA,2,5,0.5,0.166666666666667,20,100,2,3,63,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,1,2,0.5,0.166666666666667,15,70,0,2,84,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,3,2,0.666666666666667,0.166666666666667,40,60,3,1,24,1
4,1,5,4,5,5,5,4,4,5,1,2,1,1,1,2,5,4,5,0.5,0.166666666666667,50,70,1,2,31,1
4,1,2,3,3,3,3,3,4,3,4,3,4,1,2,2,5,4,2,0.5,0,40,70,3,4,41,1
5,2,4,4,3,5,4,5,5,4,2,4,1,1,2,2,4,7,4,0.666666666666667,0.333333333333333,70,100,1,3,63,1
1,1,4,1,5,5,4,5,5,2,2,4,5,1,2,1,5,4,4,NA,0.333333333333333,50,50,1,2,37,1
1,2,4,4,3,3,4,4,4,2,5,2,4,2,4,5,4,4,4,0.833333333333333,0.666666666666667,70,60,1,4,37,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,5,5,0.5,0.166666666666667,50,70,0,4,75,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,2,4,0.666666666666667,0.833333333333333,100,60,0,2,73,1
2,4,4,2,5,3,5,4,4,4,2,2,4,2,4,2,2,1,4,0.833333333333333,0.166666666666667,40,85,1,3,69,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,5,0.166666666666667,0,0,70,2,4,32,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,5,3,0.166666666666667,0,85,85,0,5,51,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,NA,3,1,0.666666666666667,1,70,30,2,4,51,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA,7,4,NA,0.166666666666667,50,70,0,2,85,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,4,4,NA,0.333333333333333,40,70,1,4,65,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,7,5,0.666666666666667,0.833333333333333,70,40,2,3,19,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,5,0.5,0.5,70,70,0,2,28,0
NA,3,4,1,3,3,4,2,1,5,2,4,4,2,2,2,1,6,5,0.333333333333333,0.833333333333333,50,50,2,1,60,1
4,1,1,1,5,1,2,4,2,4,1,1,5,2,5,1,2,7,5,0.833333333333333,0.666666666666667,50,50,2,3,36,0
1,1,2,2,3,5,4,3,3,3,5,5,5,1,3,3,4,4,3,0.333333333333333,0.666666666666667,70,50,3,3,40,0
1,1,2,2,3,3,4,4,5,2,1,2,2,1,1,3,5,3,2,0.5,0.333333333333333,60,70,3,4,53,1
3,4,3,3,3,3,3,3,2,4,3,3,4,2,4,3,2,NA,3,NA,0.166666666666667,50,60,0,1,66,1
1,1,3,1,3,3,3,4,2,3,3,4,4,2,3,4,4,NA,3,0.666666666666667,0.833333333333333,60,40,2,3,29,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,NA,7,5,0.5,0.166666666666667,50,50,1,4,64,0
2,2,4,1,3,5,3,4,4,4,4,2,5,1,4,5,5,4,4,0.666666666666667,0.5,70,70,3,5,44,0
1,1,2,2,3,5,4,3,2,2,4,4,5,1,2,1,2,4,2,0.5,0.333333333333333,70,70,1,3,41,1
1,1,3,2,1,3,3,3,2,4,3,3,4,2,3,3,4,4,4,0.166666666666667,0.5,40,60,2,3,40,1
4,3,5,2,3,5,5,5,5,4,5,5,5,1,5,5,5,NA,5,0.166666666666667,1,70,60,0,3,78,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,7,5,NA,1,50,50,0,2,70,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,6,5,0.666666666666667,0.5,70,70,1,4,55,0
4,2,3,2,3,5,3,3,3,4,2,3,3,1,2,3,2,NA,3,NA,0.666666666666667,50,50,1,2,32,1
2,1,4,2,3,3,2,3,3,4,4,4,4,2,2,4,5,4,5,0.833333333333333,0.666666666666667,85,40,2,4,78,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,NA,3,1,0.833333333333333,1,100,15,2,4,21,0
5,1,5,5,3,3,5,4,5,5,5,2,5,5,5,4,4,5,5,0.833333333333333,0.833333333333333,40,30,2,4,30,1
1,1,2,2,5,5,5,2,5,4,5,1,5,1,1,2,4,6,4,0.333333333333333,0.166666666666667,60,70,1,2,53,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,5,NA,0,NA,NA,0,2,38,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,NA,6,5,0.333333333333333,0.833333333333333,85,70,1,2,36,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,5,2,0.5,NA,NA,NA,1,2,19,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,3,4,0.666666666666667,0.833333333333333,40,40,2,5,36,0
NA,NA,NA,NA,3,1,4,NA,NA,4,4,5,2,4,2,5,NA,NA,NA,NA,0.833333333333333,85,70,0,1,60,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,3,5,0.333333333333333,0.166666666666667,40,60,2,4,34,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,5,NA,0.333333333333333,50,50,1,3,30,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,NA,4,4,0.333333333333333,0.833333333333333,60,40,2,4,22,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,NA,NA,5,0.833333333333333,0.833333333333333,100,50,1,3,43,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,5,4,0.666666666666667,0.166666666666667,60,70,3,4,38,1
3,5,2,1,3,5,1,2,5,1,2,2,4,2,4,4,2,4,5,1,0.833333333333333,85,30,1,4,44,0
4,3,4,2,3,5,4,2,3,3,2,3,4,2,2,3,4,4,2,NA,0.166666666666667,60,70,2,4,37,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,NA,6,5,0.833333333333333,0.5,50,50,2,3,26,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,2,2,0.333333333333333,0.166666666666667,40,70,3,5,41,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,NA,4,5,0.666666666666667,1,85,60,3,4,44,1
2,2,1,2,5,1,3,3,2,2,2,4,5,3,4,4,2,6,2,NA,0.666666666666667,60,50,0,2,23,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,6,5,0.666666666666667,0.333333333333333,60,70,NA,3,71,1
1,1,1,1,1,3,1,1,1,1,1,2,4,1,1,1,1,1,1,0.166666666666667,0.166666666666667,30,85,3,4,45,1
5,1,3,2,NA,1,3,3,3,3,3,4,3,1,3,3,NA,NA,3,NA,0.5,50,50,1,1,20,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,NA,4,3,0.5,0,30,85,1,4,38,0
1,2,2,4,3,3,1,5,5,4,5,5,5,1,5,2,4,5,5,0.666666666666667,0.833333333333333,95,25,2,5,37,0
1,1,4,4,5,3,4,4,3,4,4,5,5,1,4,2,4,6,2,NA,0.166666666666667,60,85,1,3,42,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,NA,5,4,0.666666666666667,0.833333333333333,85,NA,3,5,72,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,NA,6,5,0.5,0.666666666666667,100,60,3,5,66,0
4,2,3,3,3,3,5,4,3,4,2,4,4,2,3,2,4,4,4,NA,0.833333333333333,85,50,2,3,30,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,3,0.833333333333333,0.166666666666667,NA,NA,0,1,69,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,NA,3,0.5,0.666666666666667,70,60,0,3,18,1
1,1,4,2,NA,1,5,1,3,4,1,2,3,1,1,3,4,3,3,0.833333333333333,1,85,15,2,4,23,1
5,4,5,2,3,5,5,5,1,5,4,4,5,1,4,1,2,4,5,NA,1,100,60,2,4,86,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,NA,6,5,NA,0.666666666666667,50,50,1,3,36,1
1,1,5,5,3,1,5,5,5,5,5,5,5,2,2,2,5,4,5,0.666666666666667,0,60,70,2,2,20,0
1,2,1,2,3,3,2,2,3,1,5,4,3,1,4,1,2,4,4,0.666666666666667,0.166666666666667,70,60,3,3,60,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,1,5,NA,0.833333333333333,40,30,2,3,44,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,6,4,0.5,1,85,85,0,2,80,0
1,1,4,2,3,3,4,3,3,4,4,4,5,1,2,2,2,5,4,0.5,0.666666666666667,60,40,3,4,24,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,4,0.666666666666667,0.666666666666667,70,60,0,4,84,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,3,4,NA,0.5,50,50,1,1,26,1
1,1,4,5,5,5,5,4,3,5,2,2,5,2,5,5,5,6,5,0.5,0.5,50,50,2,3,32,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,50,70,0,1,78,1
3,3,4,2,3,3,2,3,NA,3,1,2,3,1,1,1,NA,NA,4,NA,0.166666666666667,50,50,0,2,40,1
4,4,5,4,5,3,2,4,2,4,4,4,5,1,4,4,2,4,4,0.5,0.166666666666667,40,70,2,4,63,0
1,1,5,2,3,3,2,4,2,4,4,4,4,5,4,4,5,6,4,0.333333333333333,0.166666666666667,40,60,3,4,33,1
1,1,2,1,3,5,2,3,5,2,5,2,4,1,2,3,2,4,4,0.833333333333333,0.333333333333333,60,30,3,5,40,0
4,2,4,3,3,3,3,4,4,4,4,4,4,1,1,1,5,4,4,0.333333333333333,0.833333333333333,70,60,3,3,33,1
1,1,4,2,3,3,4,4,4,5,5,4,5,1,5,3,5,6,4,0.666666666666667,0.833333333333333,70,50,2,3,39,1
3,3,4,4,3,3,3,3,3,5,4,3,4,2,2,3,2,NA,4,NA,0.666666666666667,100,60,1,1,42,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,4,4,0.5,0.666666666666667,60,30,2,3,52,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,3,1,NA,0.5,NA,NA,1,1,27,1
4,2,4,4,3,3,2,4,4,4,2,2,4,1,4,4,5,4,4,0.5,0.5,50,50,0,3,63,0
1,1,2,2,3,3,2,4,4,2,4,3,4,1,4,3,2,2,2,0.666666666666667,0.666666666666667,60,60,2,2,37,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,6,5,NA,0.833333333333333,85,60,2,5,50,0
1,1,2,2,3,3,2,2,2,2,1,2,4,1,1,1,2,3,4,0.333333333333333,1,85,60,1,3,45,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,7,4,0.5,0.166666666666667,50,50,1,2,26,0
2,2,4,2,5,3,5,4,4,4,4,4,5,2,4,4,4,5,5,0.666666666666667,0.666666666666667,70,50,3,3,42,0
1,1,3,3,3,1,4,4,4,3,4,4,3,2,3,3,4,5,4,0.333333333333333,0.333333333333333,40,60,3,3,40,1
1,3,4,2,3,5,4,3,2,2,3,2,4,1,1,1,2,3,2,0.166666666666667,0,50,85,3,5,77,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,5,5,0.333333333333333,0.166666666666667,60,70,3,5,51,0
4,1,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,7,5,0.5,0,50,85,1,4,34,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,NA,4,4,0.333333333333333,0.5,40,60,2,3,29,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,NA,3,3,0.5,0.833333333333333,70,15,2,3,47,1
2,2,4,2,3,3,4,4,2,3,4,5,5,2,4,5,4,6,5,0.5,0.166666666666667,85,85,3,4,27,1
3,1,4,2,1,1,3,4,2,4,3,2,4,1,4,1,1,4,2,0.833333333333333,0.666666666666667,60,40,3,3,40,0
1,1,4,4,5,5,4,4,2,1,4,4,5,1,4,5,1,4,5,0.333333333333333,0.833333333333333,85,60,2,3,40,1
5,3,4,2,3,1,5,5,3,5,3,1,5,1,1,4,5,5,4,NA,1,50,50,1,2,22,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,NA,7,5,0.5,0.666666666666667,85,60,1,3,46,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,NA,4,NA,0,50,70,1,2,68,1
5,1,4,4,5,5,5,5,5,5,1,2,4,1,3,3,5,5,4,0.5,0,15,100,2,2,32,1
5,1,5,1,5,5,4,3,5,4,4,4,4,1,5,5,4,3,4,0.833333333333333,0.666666666666667,60,40,2,3,37,0
5,1,4,2,3,5,5,4,5,2,2,1,5,2,5,5,2,5,4,0.5,0.166666666666667,50,70,2,3,46,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,NA,6,5,NA,0.666666666666667,85,40,3,4,39,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,NA,6,5,0.333333333333333,0.666666666666667,60,30,3,5,54,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,5,4,0.666666666666667,0.5,70,70,NA,1,25,1
2,1,5,2,3,5,3,5,5,5,5,NA,5,1,1,1,5,6,5,0.333333333333333,0.166666666666667,50,85,0,2,34,1
5,1,4,4,5,3,4,5,4,5,5,3,5,2,4,1,NA,NA,3,NA,0,0,100,0,3,58,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,NA,3,3,0.833333333333333,0.333333333333333,70,70,3,4,30,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,4,4,NA,0.833333333333333,85,70,0,1,52,1
5,2,5,4,3,3,4,5,4,5,5,4,5,2,2,4,5,7,5,0.666666666666667,0.833333333333333,50,70,1,4,83,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,5,4,0.5,0.333333333333333,40,70,3,3,35,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,4,0.5,0,15,70,3,3,56,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,5,4,0.166666666666667,0.166666666666667,60,85,1,2,62,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,4,4,0.5,0.333333333333333,50,50,0,5,78,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,NA,5,3,NA,0.5,50,50,2,4,37,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,7,5,0.5,0.333333333333333,0,85,0,3,72,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,2,NA,0.5,70,60,0,1,55,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,NA,4,2,0.833333333333333,0.666666666666667,85,15,2,5,32,0
2,1,3,4,3,5,4,4,4,3,5,3,5,1,4,4,5,4,3,0.666666666666667,0.666666666666667,85,40,1,2,29,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,7,4,0.833333333333333,1,85,0,2,5,30,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,6,5,0.5,0.666666666666667,85,70,2,4,40,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,4,2,NA,0.166666666666667,85,85,0,3,69,1
1,1,2,1,3,1,2,2,3,1,3,3,2,1,1,4,2,4,2,0,0.666666666666667,30,70,2,5,24,0
5,1,4,2,3,5,4,3,5,3,2,3,4,1,3,1,5,7,5,0.833333333333333,0.666666666666667,50,0,2,4,44,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,3,1,0.166666666666667,0.166666666666667,70,100,2,3,36,0
4,4,5,2,5,5,4,2,2,3,1,2,1,2,4,1,1,5,4,NA,0,0,85,0,1,68,0
3,3,3,2,3,3,2,2,4,2,4,2,4,1,2,1,2,5,3,0.5,0.166666666666667,85,50,2,3,63,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,4,NA,0.166666666666667,30,75,0,4,53,1
1,1,4,1,3,3,2,3,4,2,4,5,4,1,3,1,2,4,3,0.5,0.333333333333333,40,70,1,3,29,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,NA,6,5,NA,0.166666666666667,50,70,1,2,56,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,NA,7,5,0.833333333333333,1,100,40,2,4,62,0
1,1,4,2,3,1,3,2,2,2,5,5,5,1,2,2,1,3,4,0.833333333333333,1,70,15,3,3,29,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,NA,5,5,0.333333333333333,0.5,50,50,0,3,28,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,4,2,0.333333333333333,0.166666666666667,30,70,1,4,64,0
3,5,4,3,5,1,2,4,3,5,2,2,4,1,3,3,5,7,5,0.5,0.833333333333333,80,40,0,3,70,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,7,1,0.666666666666667,0.5,40,50,1,3,34,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,4,3,0.333333333333333,0.833333333333333,60,40,3,4,27,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,NA,6,4,0.666666666666667,0.666666666666667,85,60,3,4,37,0
1,1,5,2,1,5,5,3,3,3,1,3,4,1,1,1,5,2,4,0.166666666666667,0.333333333333333,40,60,2,3,30,0
1,2,2,1,3,3,2,2,4,3,4,2,4,2,3,3,2,2,2,0.333333333333333,0.166666666666667,40,80,2,4,55,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,3,2,0.333333333333333,0.166666666666667,30,85,2,3,41,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,6,5,NA,0.833333333333333,80,NA,0,3,90,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,NA,6,3,0.5,0,0,100,1,4,79,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,4,3,NA,0.333333333333333,70,70,2,1,46,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,4,4,0.666666666666667,0.333333333333333,60,85,3,2,56,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,6,4,0.5,0.833333333333333,90,80,0,3,79,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,2,4,0.166666666666667,0,40,70,3,5,38,1
4,3,4,2,3,1,5,4,NA,5,1,1,5,1,1,1,5,7,4,0.5,0.666666666666667,50,30,2,3,27,1
3,4,2,2,5,3,4,4,NA,4,5,1,4,2,2,2,2,NA,4,0.666666666666667,1,70,60,1,3,77,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,1,2,0.166666666666667,0,15,85,3,5,32,1
1,1,5,1,5,3,4,4,3,5,5,3,5,1,5,1,5,5,4,0.833333333333333,1,100,60,3,3,58,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,5,1,0.5,0.5,70,60,3,5,47,0
1,1,2,1,3,3,2,2,2,2,4,4,4,2,2,1,5,4,2,0.333333333333333,0.166666666666667,30,85,3,5,35,1
4,1,2,2,3,1,2,2,4,3,2,4,4,2,2,4,4,4,3,0.5,0.166666666666667,50,70,1,3,27,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,7,4,0.5,0.166666666666667,50,70,2,4,37,1
5,2,5,2,5,3,4,5,3,5,5,2,5,1,1,2,5,NA,4,NA,0.666666666666667,60,60,2,3,68,1
5,1,1,1,3,3,3,4,5,5,1,3,1,5,5,5,5,7,5,0.833333333333333,0.666666666666667,60,40,2,5,45,0
1,1,1,5,5,1,1,5,4,5,5,2,3,1,1,1,5,6,4,0.5,0.333333333333333,0,100,1,2,31,1
1,1,5,4,1,5,1,5,5,4,5,1,5,1,1,5,5,4,2,0.666666666666667,0.833333333333333,60,60,2,3,31,0
1,1,3,2,NA,1,4,4,4,4,4,2,4,3,3,2,5,7,3,0.833333333333333,0,40,70,0,3,84,0
1,2,4,2,3,5,4,4,1,4,4,4,4,4,2,5,1,3,5,0.5,0.166666666666667,60,85,1,4,73,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,6,3,0.5,0,15,70,1,3,76,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,4,5,NA,0,30,85,0,3,74,1
3,2,4,2,3,3,5,4,4,3,5,5,5,1,2,2,5,6,3,0.5,1,85,40,2,3,25,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,NA,3,4,0.5,0.833333333333333,60,85,3,3,29,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,6,5,0.833333333333333,1,85,40,3,5,38,0
1,1,5,5,5,5,5,5,5,5,2,1,4,3,5,3,5,7,5,NA,0,50,100,0,4,64,1
1,1,2,1,3,3,2,3,4,2,4,4,5,1,4,2,5,3,4,NA,0.666666666666667,70,70,3,2,24,0
3,1,4,2,3,3,4,3,4,3,4,5,5,1,3,3,2,4,2,0.833333333333333,0.833333333333333,60,50,1,4,31,1
1,1,5,5,3,1,5,5,2,5,5,4,5,1,4,5,5,5,4,NA,0.833333333333333,100,30,2,4,23,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,7,4,0.666666666666667,0.5,NA,NA,1,1,26,1
2,1,3,4,5,5,5,4,5,5,2,3,4,3,4,4,5,5,5,0.666666666666667,0.5,50,50,1,2,65,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,4,4,NA,0.833333333333333,50,60,2,3,77,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,3,2,0.5,NA,70,60,3,4,42,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,NA,NA,3,NA,0,30,70,0,3,89,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,NA,5,4,0.5,0.333333333333333,50,50,3,2,31,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,7,3,NA,0.5,50,50,0,1,27,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3,NA,7,4,0.666666666666667,0.666666666666667,60,50,1,3,37,1
