"ofr_divineplan","ofr_lessable","sr_tryhard","sr_generations","sr_crspeed","sr_realchange","sr_welfare","sr_deserveless","sr_complaint","sr_workway","indiv_hwSuccess","indiv_failsame","indiv_willwork","egal_ensureEO","egal_probnoequal","egal_lessproblem","aff_act","govt_aid_comb","govt_eqlopp_jobs","ideo7_sc","pid7_sc","ft_reps","ft_dems","educ4","int_polknow","age","fem"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,5,4,0.333333333333333,0.166666666666667,40,60,3,4,35,0
5,2,4,2,3,5,3,3,1,2,4,2,4,2,2,1,4,3,4,0.5,0,40,100,2,2,75,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,5,3,0.5,0.166666666666667,85,85,1,3,25,1
1,2,3,2,5,5,3,4,4,4,4,3,4,1,2,2,2,4,3,0.5,0.833333333333333,60,60,1,2,45,1
5,2,5,3,3,1,4,2,3,2,2,3,2,4,5,3,5,4,3,NA,0.833333333333333,70,70,1,3,40,1
3,3,4,2,3,5,3,4,4,5,1,1,2,1,1,2,5,NA,5,NA,0,15,100,0,1,56,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,6,5,0.666666666666667,0.5,60,60,1,5,29,0
5,3,4,5,5,1,5,4,5,5,2,2,5,1,1,1,NA,7,5,NA,0,50,100,0,3,78,1
5,2,4,2,5,3,NA,5,3,4,4,4,4,4,2,2,5,5,4,0.5,0.333333333333333,50,50,1,3,65,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,4,5,0.5,0.166666666666667,50,70,1,3,71,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,NA,4,4,NA,0,70,85,1,3,51,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,4,0.5,0.666666666666667,70,70,1,5,48,0
NA,2,5,2,5,3,4,5,2,5,5,5,5,1,5,3,5,NA,5,NA,NA,NA,NA,1,1,40,0
5,2,2,4,3,3,5,5,NA,5,4,2,4,1,4,4,5,NA,4,0.5,0.166666666666667,0,100,1,4,63,1
3,1,4,3,3,3,4,3,4,4,5,4,5,1,5,5,5,4,4,0.666666666666667,0.833333333333333,70,40,1,4,22,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,NA,NA,NA,NA,0.333333333333333,30,60,0,1,63,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,4,3,0.5,0.166666666666667,85,85,1,3,72,0
1,1,4,4,3,5,4,4,5,4,2,3,4,2,4,2,5,5,5,0.333333333333333,0.333333333333333,60,60,1,2,28,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,NA,3,1,0.833333333333333,0.833333333333333,50,50,2,4,29,1
1,1,2,1,3,5,1,4,2,4,4,4,4,1,4,5,1,3,3,0.666666666666667,0.833333333333333,85,60,1,2,69,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,NA,4,4,0.666666666666667,0.833333333333333,70,40,1,3,23,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,NA,1,3,0.5,0.833333333333333,50,50,1,2,28,1
1,1,4,2,3,5,1,3,2,3,2,4,5,1,2,1,4,NA,4,NA,0,40,70,1,4,62,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,7,4,NA,0.5,60,70,2,2,71,1
3,2,3,2,3,3,4,3,3,4,5,5,5,1,5,3,5,7,3,0.833333333333333,0.833333333333333,60,30,2,3,24,0
3,4,4,3,NA,1,4,4,3,5,4,2,4,1,2,1,5,4,4,0.5,0.5,NA,NA,0,1,39,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,NA,7,5,0.5,0,0,100,0,3,56,1
1,3,4,3,5,5,NA,4,3,5,3,2,2,1,4,3,5,6,5,0.666666666666667,0.833333333333333,85,50,0,4,81,0
5,2,4,2,5,5,3,4,NA,5,4,2,4,1,3,4,NA,4,5,0.5,0.166666666666667,70,50,0,3,69,1
NA,NA,2,4,3,NA,5,4,5,5,4,2,4,2,4,4,5,7,2,NA,0.833333333333333,70,0,0,2,59,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,4,0.833333333333333,0.5,50,50,2,3,39,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,NA,4,3,0.5,0.5,50,50,3,3,69,1
3,2,4,3,1,3,4,4,4,2,2,2,5,1,1,1,2,4,4,0.5,0.666666666666667,70,85,1,3,26,1
1,1,5,5,3,5,5,5,5,5,1,4,5,1,1,1,5,4,4,0.5,0,60,85,2,3,27,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,NA,7,5,0.666666666666667,0.5,40,30,1,5,66,1
4,4,4,2,3,3,2,4,4,4,2,2,4,1,1,1,NA,NA,4,NA,0.833333333333333,75,75,1,3,80,1
3,5,5,1,5,5,2,1,5,5,4,1,4,1,4,1,1,NA,4,NA,0,0,100,0,3,60,0
4,1,4,1,3,3,2,4,5,4,5,5,5,1,2,2,4,3,5,0.333333333333333,0.166666666666667,50,70,3,3,41,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,NA,6,5,0.666666666666667,0.666666666666667,60,40,3,4,52,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,5,4,NA,0,60,100,1,3,66,1
1,1,5,5,3,3,5,5,5,4,4,5,1,1,1,2,2,4,5,NA,0.666666666666667,85,50,2,3,36,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,NA,5,5,0.833333333333333,1,85,60,2,2,53,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,NA,4,5,0.833333333333333,0.833333333333333,60,60,3,4,29,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,NA,NA,4,0.833333333333333,1,100,60,0,3,75,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,6,4,NA,NA,50,50,1,3,32,1
5,2,4,2,5,1,5,5,5,5,4,4,4,3,4,4,5,5,5,0.833333333333333,1,75,35,1,4,30,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,4,4,0.666666666666667,0.833333333333333,60,40,2,3,22,1
2,1,2,2,3,1,2,4,4,2,4,4,4,2,2,2,4,3,2,0.333333333333333,0,30,70,3,5,33,0
2,3,4,3,5,5,5,4,4,4,2,4,4,2,3,3,5,6,5,0.5,0.666666666666667,85,85,1,2,26,1
5,NA,5,4,1,5,4,5,5,4,4,NA,5,1,3,2,NA,NA,3,NA,0.166666666666667,85,70,1,4,68,1
2,1,2,2,3,5,4,3,3,4,4,4,5,1,4,4,4,4,4,0.5,0.166666666666667,85,100,2,3,40,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,NA,6,4,0.833333333333333,1,100,15,1,4,50,1
1,1,1,1,3,3,2,2,2,2,2,2,5,1,4,3,4,4,4,0.5,0.166666666666667,40,60,3,5,48,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,7,5,0.333333333333333,0.666666666666667,70,50,2,3,40,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,4,0.833333333333333,0.333333333333333,0,70,0,2,27,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,4,4,0.5,1,100,50,1,2,72,1
1,1,4,4,5,5,4,4,5,5,4,4,5,2,4,3,5,3,2,0.5,0,50,70,1,4,63,1
2,3,3,4,3,5,3,3,4,3,2,1,3,1,1,3,1,1,2,0.5,0.833333333333333,70,70,0,1,23,1
4,NA,4,NA,3,3,NA,NA,NA,5,NA,2,3,2,3,3,NA,5,3,NA,0,40,60,0,1,81,1
5,4,5,5,5,3,5,4,NA,5,2,3,4,2,2,1,NA,NA,5,0.5,1,60,40,0,1,73,1
1,1,2,2,3,3,2,4,2,3,4,4,2,1,2,2,2,3,4,0.333333333333333,0.166666666666667,30,70,3,4,59,1
5,3,4,1,3,1,3,3,3,5,2,2,5,1,4,2,1,3,5,NA,0.5,70,80,1,2,19,1
