"econ_FTunions_92","econ_FTwelfare_92","econ_FTpoor_92","econ_markets_92","econ_lessgovt_92","econ_biggovt_92","econ_spend_enviro_92","econ_spend_aids_92","econ_spend_socsec_92","econ_spend_fstamps_92","econ_spend_schools_92","econ_spend_homeless_92","econ_spend_chldcare_92","econ_spend_blacks_92","econ_spend_welfare_92","econ_spend_collstudents_92","econ_spend_unemp_92","econ_spend_poor_92","econ_spend_cities_92","econ_eqlopp_92","econ_eqltoofar_92","econ_eqlchance_92","econ_worryless_92","econ_uneqlchance_92","econ_fewerproblms_92","econ_place_living_92","econ_govtprovide_92","econ_place_services_92","econ_place_insure_92","econ_place_cities_92","econ_parentleave_92","econ_expmedicare_92","econ_FTunions_96","econ_FTwelfare_96","econ_FTpoor_96","econ_markets_96","econ_lessgovt_96","econ_biggovt_96","econ_spend_enviro_96","econ_spend_aids_96","econ_spend_socsec_96","econ_spend_fstamps_96","econ_spend_schools_96","econ_spend_homeless_96","econ_spend_chldcare_96","econ_spend_welfare_96","econ_spend_collstudents_96","econ_spend_poor_96","econ_eqlopp_96","econ_eqltoofar_96","econ_eqlchance_96","econ_worryless_96","econ_uneqlchance_96","econ_fewerproblms_96","econ_place_living_96","econ_deficitspend_96","econ_cutspend_96","econ_cuttax_96","econ_cutspenddefic_96","econ_cuttaxsize_96","econ_childwelf_96","econ_welf2yrlim_96","econ_place_incgap_96","econ_place_services_96","econ_place_insure_96","econ_place_enviro_96","moral_FTwmnsmvmnt_92","moral_childobey_92","moral_schoolpray_92","moral_abortion_92","moral_parentconsent_92","moral_govtfundabort_92","moral_lifestyles_92","moral_worldchange_92","moral_family_92","moral_tolerate_92","moral_wifenotifyabort_92","moral_wmnequalrole_92","moral_FTgay_92","moral_FTxtnfunds_92","moral_gayjobdisc_92","moral_gaymilitary_92","moral_gayadopt_92","moral_extramarital_92","moral_FTwmnsmvmnt_96","moral_FTxtncoalition_96","moral_schoolpray_96","moral_abortion_96","moral_lifestyles_96","moral_worldchange_96","moral_family_96","moral_tolerate_96","moral_wmnequalrole_96","moral_FTgay_96","moral_FTxtnfunds_96","moral_gayjobdisc_96","moral_gaymilitary_96","moral_momhome_96","pid7_92","ft_reps_92","ft_dems_92","pid7_96","ft_reps_96","ft_dems_96","ideo7_92","ft_cons_92","ft_libs_92","ideo7_96","ft_cons_96","ft_libs_96","educ_low_92","educ_high_92","int_polknow_low","int_polknow_hi","econ92","econ96","moral92","moral96","PID92","PID96","IDEO92","IDEO96","econ_educLow_92","econ_educLow_96","moral_educLow_92","moral_educLow_96","econ_educHigh_92","econ_educHigh_96","moral_educHigh_92","moral_educHigh_96","econ_polKnowLow_92","econ_polKnowLow_96","moral_polKnowLow_92","moral_polKnowLow_96","econ_polKnowHigh_92","econ_polKnowHigh_96","moral_polKnowHigh_92","moral_polKnowHigh_96"
NA,40,30,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,5,1,5,5,1,4,1,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,2,4,5,4,5,5,5,5,5,7,100,100,5,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,50,50,NA,NA,NA,4,NA,30,NA,NA,NA,1,0,NA,NA,NA,NA,1.7352904201592,NA,0.589794057493311,NA,NA,NA,NA,NA,1.65010719631914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,60,30,0,0,0,1,1,1,2,1,1,1,2,1,1,1,1,3,1,1,1,1,2,1,6,0,3,5,2,0,1,60,60,40,0,0,0,1,1,2,2,1,1,1,3,1,1,2,1,2,2,2,2,6,1,0,0,0,1,5,4,4,4,3,1,40,0,2,1,4,2,2,3,2,2,2,1,50,NA,1,1,1,4,15,15,2,1,2,2,4,2,1,50,15,2,1,1,4,50,50,3,15,40,3,40,60,3,40,70,0,1,0,1,-1.02415979933995,-0.690073521185052,NA,-1.16869741051328,0.0927354370815074,-0.321194819802204,-0.865813429786519,-1.00467383005135,NA,NA,NA,NA,-1.1276757274768,-0.935533077604842,NA,-0.974223738033495,NA,NA,NA,NA,-1.0532958085337,-0.88193568961387,NA,-0.850244287688913
30,100,0,0,0,0,2,1,2,2,2,1,2,3,1,2,1,1,2,1,1,1,1,1,1,1,1,3,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,4,5,5,5,1,5,1,5,4,100,100,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,60,NA,NA,NA,5,40,0,NA,NA,NA,1,0,1,0,-1.02776540453211,NA,0.343626754329428,NA,NA,NA,0.654842703637212,NA,-0.902840765385644,NA,0.111409826866241,NA,NA,NA,NA,NA,-0.435178052488225,NA,-0.0247137350809494,NA,NA,NA,NA,NA
0,30,0,1,0,0,2,1,2,2,2,1,NA,NA,2,NA,NA,1,3,1,5,5,5,3,1,4,1,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,1,5,2,4,2,2,2,5,1,100,60,2,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50,50,NA,NA,NA,3,70,85,NA,NA,NA,1,0,NA,NA,NA,NA,-0.386311426232692,NA,-0.901381803742101,NA,-0.863081013990031,NA,NA,NA,-0.514273151675534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,100,0,0,0,0,2,2,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,0,7,1,4,0,1,15,100,0,0,0,0,3,3,1,3,1,1,1,3,1,1,1,2,1,2,1,1,1,NA,0,1,0,NA,5,5,2,1,1,4,0,1,4,2,5,1,5,5,5,1,5,1,15,100,1,1,1,5,0,50,2,3,5,1,1,5,1,100,100,1,1,2,3,0,85,1,0,100,5,15,50,5,50,50,0,0,0,1,-0.862172046229158,-1.17755061163635,-0.578596470206466,-0.136869498323502,-0.421560666434857,-1.2818055547187,0.342370382048195,0.485956072955645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.924207275323294,-1.21116396613405,-0.366266657667013,0.0476867169226914
NA,60,40,NA,1,1,3,3,2,3,3,NA,3,NA,3,1,3,3,NA,1,4,2,4,2,2,7,1,6,7,1,1,1,20,60,30,1,1,0,2,1,1,3,1,2,2,3,1,3,2,4,2,4,3,2,5,1,0,0,0,NA,5,5,4,3,1,3,60,NA,2,NA,5,5,5,4,5,4,NA,7,60,50,4,2,1,5,50,NA,2,3,4,4,5,4,5,50,NA,1,1,5,1,30,80,1,30,70,5,40,70,5,50,80,1,0,NA,NA,NA,0.252541485355599,NA,NA,-1.40924658373323,-1.26781734811783,0.348296751781644,0.479889182257635,NA,0.560750725022955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,55,10,0,0,0,1,3,2,3,1,1,2,2,3,1,3,1,2,1,1,4,5,1,4,3,1,4,5,2,1,1,NA,NA,NA,NA,NA,NA,2,1,2,3,1,2,2,3,1,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,4,7,3,0,0,2,4,5,5,1,1,5,2,1,1,15,65,1,1,5,5,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,60,60,7,85,70,5,85,75,4,NA,NA,0,1,1,0,0.0301910748822248,NA,-1.141547004766,NA,1.58320318070424,1.56869440711699,0.494720281695033,NA,NA,NA,NA,NA,-0.0793150951000833,NA,-0.80210305671253,NA,0.304433804749737,NA,-1.65349783865892,NA,NA,NA,NA,NA
50,30,15,1,1,1,2,1,2,2,1,1,2,2,3,1,2,2,2,1,4,4,2,4,4,5,1,4,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0,2,4,5,5,4,5,5,3,5,1,15,50,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,70,40,NA,NA,NA,3,85,60,NA,NA,NA,0,1,0,0,0.758020000963813,NA,-0.451170712995086,NA,1.09276987956256,NA,-0.697493760454875,NA,NA,NA,NA,NA,0.467345053822849,NA,-0.0957708631818988,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,60,30,1,1,1,1,3,3,3,1,1,1,1,3,1,3,1,3,1,4,2,2,2,2,7,0,5,3,2,1,2,85,60,40,1,1,1,1,1,2,3,2,1,NA,3,2,2,1,2,2,2,3,2,7,1,1,1,1,3,5,5,7,6,7,3,70,1,3,4,5,5,5,5,5,5,5,3,100,85,5,5,5,5,85,40,2,3,5,5,5,5,4,60,100,2,4,4,5,60,60,5,85,30,5,50,15,6,70,0,0,1,NA,NA,0.873090658842769,NA,1.99893271354606,1.3311513951518,0.589085939880629,0.637438674075165,0.626558656345035,1.24219028374377,NA,NA,NA,NA,0.602107596299128,NA,2.05227598040475,1.40778154662181,NA,NA,NA,NA,NA,NA,NA,NA
70,50,30,0,1,NA,1,2,2,7,3,2,2,3,3,7,3,2,3,3,3,5,5,3,5,7,0,5,7,4,1,5,30,50,40,0,1,1,2,NA,2,3,3,2,3,2,NA,2,3,2,3,4,4,4,7,0,0,1,0,2,5,5,4,5,2,4,85,1,4,3,5,2,5,2,5,2,1,1,100,40,5,5,1,3,85,60,2,2,5,1,5,1,6,100,40,NA,5,5,5,70,40,7,85,0,3,50,15,5,70,30,0,0,NA,NA,NA,NA,1.28721026953828,NA,0.595711259150761,1.58710926476636,-0.631343804059638,0.4937740956707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,40,15,0,0,1,1,NA,1,2,1,1,2,1,2,1,1,1,2,1,4,2,2,2,1,7,1,3,7,7,1,1,15,40,30,0,0,0,2,1,1,2,1,1,2,2,1,1,1,4,3,1,2,2,2,0,0,1,0,NA,5,5,4,4,7,4,15,1,3,1,5,1,5,5,5,2,5,4,50,60,2,2,5,5,40,50,2,1,4,5,5,2,4,50,50,1,2,3,6,60,50,4,60,85,5,50,60,5,50,50,0,0,0,0,NA,-0.871981906320495,-0.0360066862387425,-0.171135347732087,1.08858903925337,0.147000498970647,0.429493401580741,0.485956072955645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,60,0,0,0,1,1,1,2,2,1,1,1,2,2,2,3,3,2,1,2,1,5,5,1,5,0,1,7,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,5,2,5,1,5,2,5,1,50,50,2,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,70,90,NA,NA,NA,5,80,80,NA,NA,NA,0,0,0,0,-0.213797683897093,NA,-0.382526363608431,NA,1.08054748475787,NA,0.454121956795484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,30,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,2,2,1,2,2,0,2,2,2,0,2,15,40,15,0,0,0,1,1,1,1,1,1,1,2,1,1,3,4,4,2,1,1,3,0,0,1,0,3,2,4,6,3,3,4,15,0,2,1,4,1,5,3,5,2,1,2,15,60,2,2,5,5,15,60,2,1,1,4,5,2,3,30,60,4,4,4,3,30,70,3,15,85,3,60,30,3,40,70,1,0,NA,NA,-1.41428899356078,-1.28377035961431,-0.625982202061551,-0.375330898902097,-0.412684863948684,-0.333032942576796,-0.659627851351815,-1.00467383005135,-1.43543607149604,-1.18674918763779,-1.01943416459822,-0.645175723469161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,45,25,1,1,1,2,3,2,2,1,1,3,3,3,3,2,2,3,2,5,5,4,5,5,6,1,4,2,5,1,1,70,50,40,1,1,1,3,2,2,3,1,2,3,3,2,3,4,5,5,5,5,4,7,1,1,1,1,2,1,5,6,6,5,4,100,1,2,3,5,5,5,5,5,5,5,6,100,100,4,5,5,5,100,40,2,3,5,5,5,2,7,100,60,5,2,5,2,40,60,5,60,40,6,90,0,6,60,30,1,0,0,1,1.62695662460501,2.00679070551228,2.09279379488049,1.59226654973068,-0.905562644051294,0.629727876165972,1.47081578865249,1.23423667858757,1.84749290347874,2.32045539090586,2.01162613255107,1.66665750117363,NA,NA,NA,NA,NA,NA,NA,NA,1.36146458772681,1.67941700135146,2.12170465202221,1.69578568347619
40,15,0,0,NA,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,2,1,1,0,1,30,15,30,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,NA,1,4,1,3,1,1,15,NA,1,1,1,2,1,5,2,1,1,1,15,15,1,1,1,5,30,15,2,2,4,3,3,1,1,30,30,1,1,3,2,40,60,1,30,70,2,30,85,2,30,85,0,1,0,1,NA,-1.81733465838522,-1.83500201131956,-1.15199275141229,-0.905562644051294,-1.26781734811783,-1.64164972804272,-1.75194328723361,NA,NA,NA,NA,NA,-1.98139798202034,-1.51436974991098,-0.822581572875553,NA,NA,NA,NA,NA,-1.9797331210518,-1.4584204862608,-0.83404076128119
85,85,50,1,1,1,3,3,2,3,2,3,3,3,3,3,2,3,3,1,4,3,4,4,1,6,1,4,3,4,1,3,NA,NA,NA,NA,NA,NA,3,3,2,NA,2,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,85,0,2,2,4,5,5,3,4,3,5,2,85,NA,1,5,5,4,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,50,50,5,70,40,6,50,0,6,NA,NA,1,0,0,0,2.13120593625125,NA,NA,NA,0.0927354370815074,0.631759917749685,1.32119830480214,NA,2.51312483808249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,30,30,0,0,0,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,4,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,2,1,5,1,4,2,5,2,1,1,10,70,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40,100,NA,NA,NA,2,70,90,NA,NA,NA,0,0,NA,NA,-1.35318980892821,NA,-1.08965323021467,NA,-1.41239918030685,NA,-1.51392838361062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,70,50,1,1,1,2,2,3,3,2,NA,3,NA,3,2,3,2,2,3,4,5,4,3,3,7,1,7,7,5,1,4,100,60,50,1,1,1,3,2,2,3,3,2,3,3,2,3,2,3,5,4,3,4,7,1,1,1,1,6,5,5,7,7,7,6,25,NA,2,1,1,1,5,4,5,4,1,1,50,50,1,2,4,5,40,0,2,1,2,2,4,2,1,50,0,1,1,5,7,70,0,7,85,30,5,70,30,5,85,0,0,1,0,0,NA,2.24779800337778,-0.235510273427864,-1.19169126245355,1.59960641581812,1.57921718291663,0.635678980015446,0.502671058055996,NA,NA,NA,NA,NA,1.78470014417644,-0.0252385040218859,-0.969045023876035,NA,NA,NA,NA,NA,NA,NA,NA
40,50,40,0,0,0,1,2,2,1,1,1,1,2,1,1,1,1,1,1,3,2,3,4,4,4,0,3,3,4,0,2,30,50,40,0,0,0,2,1,2,2,1,1,1,3,1,2,1,3,2,2,2,3,5,1,NA,0,NA,1,2,4,4,4,2,4,30,NA,2,1,5,1,4,2,4,1,4,2,60,50,1,2,5,4,30,30,2,1,3,1,3,2,1,60,30,1,2,1,2,40,60,2,40,60,5,60,60,5,50,40,1,0,NA,NA,-0.643575911505642,-0.554029947491918,-0.661618233838154,-1.01633817076659,-0.905562644051294,-0.792265358163472,0.466897772543329,0.487978369854982,-0.687247267110013,-0.291622868895891,-0.916540577115537,-1.12929916180082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,40,15,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,2,4,NA,4,1,4,1,2,60,40,30,1,1,1,2,3,2,2,2,2,2,3,2,2,2,4,4,3,5,3,4,1,0,0,1,1,4,4,4,5,2,4,40,0,3,3,5,5,5,4,5,4,4,2,60,85,2,5,5,5,60,85,3,4,4,4,4,2,4,70,70,NA,5,2,6,85,60,6,60,40,5,70,60,5,70,60,0,1,NA,NA,0.177246025156519,0.965439472514241,0.861815501625841,NA,1.09048546366307,1.1006171305867,0.504302143505917,0.487707204972689,NA,NA,NA,NA,-0.0596698310822471,0.628510531551418,1.06527991009694,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,40,50,1,1,1,1,1,2,3,2,2,2,2,3,2,2,2,3,1,3,4,5,1,1,6,1,6,7,4,1,2,50,70,15,1,1,1,2,1,3,3,1,2,2,3,1,2,2,3,4,4,3,4,7,1,1,1,1,6,5,4,4,6,7,6,40,NA,2,3,5,5,5,2,5,3,5,2,100,70,5,5,5,5,30,70,1,3,4,4,5,4,4,100,85,4,5,3,7,70,50,7,100,15,6,70,50,7,85,0,1,0,0,1,1.28213374144566,1.21055727565788,1.20161619640824,1.2826681773461,1.58738402101343,1.58621128621706,1.17704565254476,1.98736965280612,1.61422382438648,1.48549323361652,1.05440773895062,1.18280962539038,NA,NA,NA,NA,NA,NA,NA,NA,1.04691954052557,0.886918732314776,1.25070790743007,1.24861515209788
NA,0,0,0,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,0,1,1,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,5,1,4,2,5,2,5,7,NA,100,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,50,100,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,-0.374626943967634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,30,15,0,0,0,1,2,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,5,0,4,1,5,0,1,15,30,15,0,0,0,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,0,0,1,0,3,1,5,1,3,6,4,15,1,2,2,5,1,5,1,5,2,5,5,60,85,5,5,5,5,15,85,4,3,4,1,5,2,1,100,100,1,1,5,1,85,90,1,70,100,4,70,70,5,85,70,1,0,0,0,-1.16259495075916,-1.42171947504036,0.718285238938777,0.141979054098979,-1.40214107527876,-1.2675812636327,-0.16844136553293,0.488514979760638,-1.09922183984448,-1.3600746873237,0.491800528653782,-0.117561156174538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,50,30,0,0,0,2,1,1,2,1,1,2,3,3,1,1,1,3,1,3,3,2,1,2,6,1,2,3,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,2,3,4,4,2,3,2,2,2,1,40,40,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,50,50,NA,NA,NA,3,60,50,NA,NA,NA,0,0,NA,NA,-0.488855952896246,NA,-0.835477764355389,NA,0.0927354370815074,NA,-0.747212409024835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,15,15,1,1,0,1,1,1,2,1,1,1,3,2,1,1,1,3,1,4,4,4,1,5,1,0,2,1,4,1,1,50,35,25,0,0,0,3,2,1,2,1,2,1,1,1,1,3,4,3,2,2,2,6,1,0,1,0,NA,4,5,4,3,7,5,30,0,2,2,5,1,4,2,5,2,5,3,70,60,1,2,5,5,15,50,2,3,4,3,4,2,1,25,50,2,2,3,3,60,60,2,10,50,6,70,70,6,50,50,1,0,1,0,-0.491153856875189,-0.470091700902839,-0.176676657190042,-0.649410888164309,-0.405031300942979,-0.795730788964702,1.08946109487174,1.22830537033071,-0.462371539324803,-0.39337916596184,-0.410789840336568,-0.987360486946887,NA,NA,NA,NA,-0.607914175877292,-0.25159032392831,-0.491373875397944,-1.16232007221332,NA,NA,NA,NA
50,40,30,1,1,0,1,1,1,2,1,1,1,2,2,1,2,2,3,1,1,2,4,1,3,6,1,2,2,1,1,1,60,50,30,0,0,0,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,4,0,0,1,0,NA,1,5,4,3,4,1,15,0,3,1,5,1,2,2,5,1,1,1,15,40,1,1,1,2,30,15,3,1,2,2,4,1,1,30,15,1,1,4,3,50,50,2,30,60,2,30,70,3,40,85,0,0,0,1,-0.305956865498481,-1.28434501424699,-1.36959566014039,-1.40059376078569,-0.404323183330297,-0.794297399747185,-1.57596130978795,-1.00770727540035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.393376897750979,-1.37451005972582,-1.03348967379991,-1.07785583995285
40,50,40,1,1,1,3,2,2,2,3,3,2,2,2,3,3,3,2,2,4,2,2,3,2,4,0,3,4,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,4,3,1,2,2,2,4,2,5,NA,50,60,5,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,85,70,NA,NA,NA,4,60,50,NA,NA,NA,1,0,1,0,1.34527561052299,NA,NA,NA,-0.900193496945083,NA,-0.118261178822498,NA,1.59274384991293,NA,NA,NA,NA,NA,NA,NA,2.22022408541184,NA,NA,NA,NA,NA,NA,NA
40,60,50,0,0,0,1,1,2,1,1,1,1,NA,1,1,1,2,2,1,2,2,1,1,1,2,0,3,1,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,1,1,4,1,2,2,3,2,2,1,60,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,15,85,NA,NA,NA,2,15,60,NA,NA,NA,0,1,NA,NA,-1.16018794332815,NA,-1.08081686734197,NA,-0.418956124412474,NA,-1.58827558739532,NA,NA,NA,NA,NA,-1.33308744829885,NA,-0.840877380959491,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,40,30,0,0,0,1,1,1,3,1,1,2,3,2,1,3,2,2,1,1,2,3,1,4,2,0,3,4,3,0,2,50,50,50,0,0,0,2,1,1,3,1,2,1,2,2,2,2,5,4,3,2,2,6,1,1,1,1,NA,NA,5,4,3,4,4,15,0,3,1,4,2,3,2,2,2,5,1,50,50,1,2,5,2,40,40,2,1,5,2,3,3,3,50,15,1,2,2,5,70,40,6,80,60,6,60,60,5,100,30,0,1,1,0,-0.557987658633029,-0.101191539710404,-0.98851228934184,-0.586191715525162,0.595711259150761,1.09941982585431,1.09584900274567,0.499434239045271,NA,NA,NA,NA,-0.754652919088998,-0.406273717078427,-0.726939674326705,-0.390541307830708,-0.0365859411399371,0.347074831585788,-1.20218778210589,-0.647906002970521,NA,NA,NA,NA
NA,50,20,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,5,4,2,4,2,1,1,4,4,7,1,1,20,50,10,0,0,1,1,1,1,1,1,1,1,1,1,1,3,4,2,4,2,1,2,0,1,1,0,NA,5,4,4,2,2,6,90,NA,2,3,5,5,3,4,5,2,5,1,10,90,1,1,1,3,15,NA,2,4,3,4,4,3,6,100,85,4,4,4,NA,NA,NA,6,85,70,5,60,20,6,NA,NA,1,0,NA,NA,NA,-1.41104559900614,-0.407134644178928,1.09007094010015,NA,1.09780515269626,0.642066887889368,NA,NA,-1.35446096488939,-0.802130209349335,1.00538867156958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,40,30,0,0,0,2,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,4,3,0,3,5,4,1,2,40,30,30,0,0,0,2,1,2,3,1,1,1,2,1,1,2,2,2,2,2,4,4,1,0,0,0,NA,5,5,5,3,4,4,30,0,2,1,2,2,2,2,2,2,2,1,NA,NA,2,1,NA,5,30,NA,3,1,2,2,2,2,1,40,NA,NA,2,1,2,30,70,2,30,85,3,50,60,3,60,70,0,0,0,0,-0.737472544321717,-0.774763755723517,NA,NA,-0.909743484360488,-0.800874134621958,-0.828409058823932,-1.00090040113497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,30,0,0,0,0,1,1,2,2,2,1,1,2,3,1,2,2,1,1,5,5,5,5,5,5,0,4,7,6,1,1,50,40,30,0,1,0,2,1,2,NA,1,1,1,3,1,3,1,2,4,2,3,2,4,1,1,1,1,2,5,5,3,2,4,6,60,0,2,2,1,2,4,2,5,5,4,5,100,60,5,5,5,5,50,70,2,3,4,3,5,4,4,100,50,5,5,3,7,70,50,6,70,60,5,70,60,5,85,50,0,1,0,1,0.520263132780531,NA,1.43500337341394,1.37357013907819,1.58738402101343,1.0973877842706,0.504302143505917,0.492559573559312,NA,NA,NA,NA,0.446983857167017,NA,1.42769343221032,1.24504762477182,NA,NA,NA,NA,0.508498308595346,NA,1.48474546284887,1.35607648575037
100,50,0,0,0,0,1,2,1,2,2,2,2,3,2,3,2,1,2,2,4,4,4,4,4,6,1,4,6,6,1,NA,70,85,50,1,1,1,2,1,1,3,2,2,2,3,2,2,5,5,4,4,4,3,6,1,1,1,1,3,5,5,6,5,6,4,30,0,2,1,1,2,3,4,5,2,1,1,NA,50,1,1,1,5,60,50,2,3,2,4,4,4,2,50,50,2,1,4,5,70,40,6,75,40,5,40,50,6,85,40,1,0,NA,NA,0.600619885585066,1.42769899913126,NA,-0.144939757455192,0.595711259150761,1.10366519296227,0.435881309454664,1.23693116783371,0.649349544284042,1.52206973997981,NA,-0.146521778541325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
