"econ_FTunions_92","econ_FTwelfare_92","econ_FTpoor_92","econ_markets_92","econ_lessgovt_92","econ_biggovt_92","econ_spend_enviro_92","econ_spend_aids_92","econ_spend_socsec_92","econ_spend_fstamps_92","econ_spend_schools_92","econ_spend_homeless_92","econ_spend_chldcare_92","econ_spend_blacks_92","econ_spend_welfare_92","econ_spend_collstudents_92","econ_spend_unemp_92","econ_spend_poor_92","econ_spend_cities_92","econ_eqlopp_92","econ_eqltoofar_92","econ_eqlchance_92","econ_worryless_92","econ_uneqlchance_92","econ_fewerproblms_92","econ_place_living_92","econ_govtprovide_92","econ_place_services_92","econ_place_insure_92","econ_place_cities_92","econ_parentleave_92","econ_expmedicare_92","econ_FTunions_96","econ_FTwelfare_96","econ_FTpoor_96","econ_markets_96","econ_lessgovt_96","econ_biggovt_96","econ_spend_enviro_96","econ_spend_aids_96","econ_spend_socsec_96","econ_spend_fstamps_96","econ_spend_schools_96","econ_spend_homeless_96","econ_spend_chldcare_96","econ_spend_welfare_96","econ_spend_collstudents_96","econ_spend_poor_96","econ_eqlopp_96","econ_eqltoofar_96","econ_eqlchance_96","econ_worryless_96","econ_uneqlchance_96","econ_fewerproblms_96","econ_place_living_96","econ_deficitspend_96","econ_cutspend_96","econ_cuttax_96","econ_cutspenddefic_96","econ_cuttaxsize_96","econ_childwelf_96","econ_welf2yrlim_96","econ_place_incgap_96","econ_place_services_96","econ_place_insure_96","econ_place_enviro_96","moral_FTwmnsmvmnt_92","moral_childobey_92","moral_schoolpray_92","moral_abortion_92","moral_parentconsent_92","moral_govtfundabort_92","moral_lifestyles_92","moral_worldchange_92","moral_family_92","moral_tolerate_92","moral_wifenotifyabort_92","moral_wmnequalrole_92","moral_FTgay_92","moral_FTxtnfunds_92","moral_gayjobdisc_92","moral_gaymilitary_92","moral_gayadopt_92","moral_extramarital_92","moral_FTwmnsmvmnt_96","moral_FTxtncoalition_96","moral_schoolpray_96","moral_abortion_96","moral_lifestyles_96","moral_worldchange_96","moral_family_96","moral_tolerate_96","moral_wmnequalrole_96","moral_FTgay_96","moral_FTxtnfunds_96","moral_gayjobdisc_96","moral_gaymilitary_96","moral_momhome_96","pid7_92","ft_reps_92","ft_dems_92","pid7_96","ft_reps_96","ft_dems_96","ideo7_92","ft_cons_92","ft_libs_92","ideo7_96","ft_cons_96","ft_libs_96","educ_low_92","educ_high_92","int_polknow_low","int_polknow_hi","econ92","econ96","moral92","moral96","PID92","PID96","IDEO92","IDEO96","econ_educLow_92","econ_educLow_96","moral_educLow_92","moral_educLow_96","econ_educHigh_92","econ_educHigh_96","moral_educHigh_92","moral_educHigh_96","econ_polKnowLow_92","econ_polKnowLow_96","moral_polKnowLow_92","moral_polKnowLow_96","econ_polKnowHigh_92","econ_polKnowHigh_96","moral_polKnowHigh_92","moral_polKnowHigh_96"
40,40,30,0,0,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,3,1,4,1,2,4,0,3,4,4,1,1,50,70,50,1,1,1,2,1,1,3,1,1,3,3,1,1,2,5,3,4,1,2,4,1,0,1,0,4,5,5,4,5,3,3,50,0,4,1,1,2,4,1,4,2,5,1,50,50,2,2,2,5,50,50,2,3,4,5,4,1,2,50,50,2,2,3,5,40,40,3,40,60,2,50,50,5,50,50,1,0,1,0,-0.76521451997097,0.409521694312129,-0.40298836919329,-0.154393181526892,0.590502175105994,-0.321376103742739,-1.41356801018976,0.485956072955645,-0.653641553622171,0.423825554968457,-0.725415890160559,-0.29992327981925,NA,NA,NA,NA,-0.608293206844919,0.523322952413187,-0.644211558779711,-0.254932001209488,NA,NA,NA,NA
85,80,45,0,0,0,2,2,1,2,2,1,1,3,2,3,1,1,3,1,5,5,5,5,3,7,0,2,7,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,2,1,5,1,5,1,2,4,1,1,50,55,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,100,0,NA,NA,NA,4,40,55,NA,NA,NA,0,0,0,1,0.667024919148864,NA,0.105440925277951,NA,1.60481549986289,NA,-0.214966060165928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.626773418537541,NA,0.254638762040625,NA
70,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1,NA,4,NA,NA,4,4,1,NA,50,50,50,0,0,0,2,2,1,2,1,1,2,2,2,2,2,3,3,3,2,4,7,NA,NA,NA,NA,NA,NA,NA,4,NA,6,3,100,1,NA,4,5,NA,5,5,4,5,5,4,100,NA,NA,NA,5,5,50,50,2,4,5,5,5,4,4,100,50,5,NA,5,NA,NA,NA,NA,50,50,NA,50,50,NA,50,50,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,70,15,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,4,5,3,1,4,0,4,4,4,0,1,NA,50,0,0,0,0,1,1,1,3,1,1,1,1,1,1,1,5,1,5,1,1,7,0,1,0,1,NA,5,2,4,4,1,6,40,1,4,4,5,5,4,2,3,1,5,NA,100,60,4,2,2,5,NA,50,4,4,5,4,5,1,1,100,100,NA,4,2,5,60,40,NA,60,50,4,50,50,4,60,50,1,0,1,0,-0.631581665734066,NA,NA,NA,0.593974897802505,NA,-0.155665549785085,-0.254506509961229,-0.717348712746497,NA,NA,NA,NA,NA,NA,NA,-0.612726389104123,NA,NA,NA,NA,NA,NA,NA
30,30,30,0,0,NA,2,1,1,2,1,1,2,7,2,2,NA,NA,2,2,4,3,5,2,2,4,1,3,3,4,1,1,40,30,NA,1,1,1,3,2,2,3,1,NA,3,3,2,3,2,4,3,5,4,3,7,1,0,1,0,NA,4,5,NA,6,7,6,40,NA,3,3,5,5,1,5,5,5,NA,4,100,100,NA,5,5,5,85,85,2,4,5,5,5,4,4,NA,100,NA,5,4,7,60,30,7,85,30,6,60,15,6,85,30,0,1,NA,NA,NA,NA,NA,NA,1.59053661758705,1.57921718291663,1.29291425750996,1.23895346473305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,50,40,1,1,0,2,1,1,1,1,1,1,2,3,3,1,1,1,2,3,1,4,2,2,5,0,4,4,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,2,3,4,2,4,2,3,2,5,2,70,50,4,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,60,60,NA,NA,NA,5,60,50,NA,NA,NA,1,0,NA,NA,0.00876652643490312,NA,NA,NA,1.08614456029243,NA,0.510690051379839,NA,-0.0197158404220651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,40,40,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,2,5,5,1,1,0,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0,4,2,1,1,1,2,4,1,1,1,50,40,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,50,50,NA,NA,NA,3,50,70,NA,NA,NA,1,0,NA,NA,-1.1663719944066,NA,-1.00947689118619,NA,0.589794057493311,NA,-0.872201337660442,NA,-1.30990360575532,NA,-1.26149574546923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,40,15,0,0,1,2,1,2,3,2,NA,2,2,3,NA,2,2,2,1,5,2,4,5,4,5,1,4,5,2,1,1,30,15,15,0,1,0,2,2,2,2,1,2,1,2,2,2,1,4,2,5,4,1,7,0,1,0,1,NA,4,1,2,4,7,5,15,1,4,1,5,1,5,2,5,3,4,4,50,40,1,1,5,5,15,50,3,1,5,3,5,1,7,50,70,2,4,5,7,85,50,3,50,50,5,60,30,5,60,85,0,1,NA,NA,NA,0.0311341110722485,-0.313629367584151,0.236113157545167,1.58998856303581,-0.316713368209116,0.598274609052858,0.480764748266157,NA,NA,NA,NA,NA,-0.072460010444896,-0.0797333162117003,0.276296767362505,NA,NA,NA,NA,NA,NA,NA,NA
30,50,40,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,5,NA,2,2,1,NA,7,1,4,5,4,1,1,40,70,30,0,0,1,1,2,1,3,1,2,1,2,3,1,1,1,1,5,4,1,4,0,1,0,NA,NA,1,1,4,5,4,4,40,1,3,4,1,4,NA,1,NA,1,5,4,85,50,NA,4,4,5,60,70,4,4,5,1,5,1,NA,85,40,1,5,1,3,NA,NA,5,NA,60,5,50,60,4,50,60,1,0,1,0,NA,-0.335162654705872,NA,NA,NA,NA,0.429493401580741,-0.258415521318756,NA,-0.387817230344705,NA,NA,NA,NA,NA,NA,NA,0.00733308984104884,NA,NA,NA,NA,NA,NA
50,25,NA,0,0,0,1,1,2,2,1,1,1,2,2,1,2,1,3,1,4,1,1,1,1,6,0,3,4,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,5,5,5,5,5,5,5,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,40,60,NA,NA,NA,5,60,45,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,-0.40850402363949,NA,0.532586190798094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
